unique_id,dreams
1437L,"I don't remember at this point but I did when I woke up. It was something work-related. And another dream ultimate frisbee related. I was playing frisbee (which I don't play competitively anymore but did in college and high school). People from my college and from the club scene here were there, and we were trying to play, but it was rainy and I think we were at a playground, and the games were delayed."
1332L,"I was in Istanbul (my university is there). There were 8-9 orphans at the age of 5, and I was trying to give them to the authorities. First, they accepted these children, but then they sent them back as they were 'clones' of some other people. In the mean time, my mom was also in the town, we meet and she goes to a comedy show. I once again try to find a place for the children atleast for the weekend, so I call my friends, go to their house etc. Then I remember that I have a house so they can stay at my place. But my mom is in town and I am not sure if she will stay at my place or we will leave together to my homecity tonight."
1239L,"I went to work with my slipper on (instead of outdoor shoe), and felt embarrassed."
1356L,Something about harvesting worms for compost
1480L,"Holding a Yorkshire Terrier dog and telling the owner (that I have never seen in my life), I wished i had a dog during quarantine time."
13716L,My car was parked some place else (still in my neighborhood) and I was panicking.
13055L,I dreamt that my mum told me I need to look after my son today as she needed a break. (We live together and yesterday I had an afternoon nap). So I took that as she was telling me off. It was strange and I felt guilty.
1370L,I don't remember much. I think the NBA resumed games after its COVID suspension much sooner than anticipated.
1612L,I dreamt about a video game
13803L,Dreamt I was running around my grandparents' house without pants on
15854L,"Had a nightmare that was sort of video game-esque, where these creatures were appearing around me faster than I could get rid of them. Eventually I set them on fire and left, but immediately felt that I'd burned a hall full of people..."
20153L,Don't really remember. Something about going through airport security with a friend.
1384L,Something about the show I was playing when I fell asleep.
1569L,Something about my childhood friend losing a pen and being concerned about his mom starting to date again
15895L,"Some combination of Watchmen and me trying to track down an elderly friend of mine, with a bit of Brooklyn 99 thrown in..."
1779L,"I had SO MANY dreams. Each time I awoke I tried to remember them so I could write them here, but of course now I've forgotten most. One did involved having a whole bunch of objects permanently around me that all had ""COVID-19"" written on them, and I couldn't move them or get rid of them. Another dream was a house party of sorts with a bunch of South Americans that I had just met (in my dream). There were 3 more distinct dreams that I can't recall now, but that were very vivid at the time. One I know I woke up from when I was about to burst into tears in the dream (can't remember what about) - and that was when I was awake for the longest afterwards."
13334L,"I was trying to buy 150 items at the grocery store and I couldn't work out how to do it because the limit was 50 and there was a cost for each order.   I also dreamt that I was at some sort of house/shop owned by an old boss/mentor of mine and I had to leave to catch a plane, but I was running really late. I noticed that my boss had packed some new t-shirts from the shop in my luggage as a surprise gift, but they were the discounted t-shirts."
13818L,Really vivid and bizarre nightmares that I now can't recall the details of.
15978L,Early in the night I had a dream which involved someone evil that was stabbing people - but the memory is very vague. Later in the night I had a dream involving a hedgehog that was in an unusual place - again vague recollection of details.
16033L,Impulsively traded my inheritance and life savings for a condo I didn't want. Whoops.
18008L,"Mayonnaise companies were affixing flies to the lids of mayonnaise jars so that people could brush them away and feel like they were doing housework, much as baking-mix companies make you add an egg so that you feel like you're cooking."
1694L,"I had a dream I was at a reunion for my high school class, and somehow I was sort of dating someone I went to high school with? He looked a lot like Damon Wayans, who I definitely didn't go to school with but in my dream it made total sense. All the mean people were still mean. All the friendly people were still friendly. It was a nice time which I totally would not have expected from my high school class in particular."
1885L,"My City (San Jose, CA) was like Venice, water for streets."
1484L,At home with family in cabin
1757L,Dreamt of old friends on a trip
12463L,Nature
13164L,Robots
14581L,Transformers fights
15055L,Robots
15404L,Dragons
15855L,Magic
19566L,The sky
1766L,"Part of my dream included going to Costco. I was shopping with some family members. I brought supplies (hay and other things) which they were going to sell for me, but I think I still ended up paying for. While waiting for my mother to find us I tried to calculate the total of everything we wanted to buy. Before my mother found me, I realized some of my friends wereIn another part of my dream I was going to see a doctor through telehealth (I have an apt today in real life). It was a mix of a doctor's office and my graduate school. There was also a part where a patient asked me to find marijuana for him so I did. And another part where there were flowers everywhere and I was trying to collect as many as I could. A third dream I had involved me being a new kid at a school."
2180L,I had a dream that a sloth was in the tiger exhibit at the zoo and I was trying to save it and got bitten by a snake in the process.
1532L,"I was in a party, lot of people I dont know in the countryside. There was also a pool where we swam. After the party, I was with my boyfriend in our own room and we slept there - we woke up at 5:30pm the next day. I was writing to one of my childhood friend that I woke up that late, then felt bad because we haven't talked for years. I went out in the field, it was actually my parents backyard, but amplified, much larger, as if it was the countryside instead of the suburbs. I went to see another one of the little house by a wood. My cousin was there, they were hanging things on the ceiling, installing professional lights to make a clip. I saw part of the clip, a girl running in the forest. The first part was animated (drawing) then it became real footage, I wondered how they made that. I looked back at our own 'house'/room where we slept with binoculars, my boyfriend was sitting on the balcony reading, and there was a cat sitting next to him. It was endearing."
3596L,I was buying gummy candies with my sister
13146L,Some kind of adventure dream with people I went to high school. I don't even talk to most of them so it was odd.
23113L,My dreams were about work things.
1846L,"I was in the Cathedral of Learning at Pitt at one point, I also was collecting materials to build something at another point"
2043L,Nightmare of people invading the house where me and my co-workers were in
15891L,I was driving on a road trip with a few friends
20200L,I remember sitting in a high school classroom taking a test
1737L,I had a dream about an old friend with whom I had a falling out years ago.
1816L,I had a dream that my potted plant turned into a tree.
1911L,I vaguely remember being in some sort of adult scavenger hunt.
2362L,I had a lot of stress dreams about work I needed to do this morning.
1833L,"I had a nightmare that my ex boyfriend was at my parents house with 2 girls that I worked with in the past. I was in an argument with him but trying to stay calm, and I woke up crying."
11683L,I don't remember it.  I was going somewhere...
1763L,I don't remember many details but Michael Jordan was definitely there
1845L,I was with a random mix of people I knew from work and high school. We were at my grandparents old place and were preparing for the Hunger Games but in the dream the Hunger Games were actually just a very competitive scavenger hunt. We had just got our personalized team bandannas and we were all pretty excited
2080L,My grandfather was there and we were driving somewhere in his truck
11949L,"Had a dream my mom and brother had a big fight, it was related to not cleaning his room which he said could be solved by turning on some Coldplay. Had another dream that involved mashed potatoes and how the tupperware wasn't big enough to fit all the mashed potatoes"
12221L,We were at a lab retreat of sorts. Our bed making ability was graded and critiqued. One of my advisors was preparing to give a talk the next morning and the other one was asking me for information about it but I didn't have a lot of information and I had to go to my doctors appointment to get checked for covid.
12828L,Allison Janney (I've been watching West Wing) and a collaborator from one of our studies (who we are debating with about about a manuscript) were there. I think we were planning a picnic and Allison was talking about watermelon
13309L,"I was cleaning the filter on my fish tank but instead of my fish Dog, I had 5 different fish which were angel fish of different sizes. I was upset because it seemed like 2 of the fish were going to die after my friend had been playing with them by having them swim in his shoes and turning his bed into a swimming pool. I put the fish in Army combat boots while I cleaned the filter."
14715L,"I don't remember how everything was connected but my roommates were trying to climb a tree, I was concerned about finding buffalo wings or dip and there were huge sand dunes that we were figuring out how to sled down (because we didn't have a sled and we didn't think a pillow would work)"
15025L,"My roommates and I were on a lazy river, I think there was discussion of cantaloupe and concern about my roommates' dogs fighting"
15450L,Trump had released tapes of Biden slurring his speech but it turns out it was just someone in a Biden mask. My advisor was there and had a pet goat. My roommates and I were building a fire
15819L,"My roommates and I were on an island and there were docks that we were excited to jump off into the water. It was a live viewing of a reality show, we were going to stay on the island with other viewers while a reality show was being filmed on the island and we were the live audience slash could explore the island and try to get the inside scoop from different people in the show"
16301L,I was on the Great British Baking Show but they were critiquing my dissertation study design
16641L,Was watching a pick-up basketball game. Ja Morant was there.
18125L,There was a river monster warning and our house and all our neighbors were preparing by making paper airplanes and making something in a crockpot.
18729L,I was running a sleep study or had the opportunity to run a sleep study but had to talk my roommate into it
20267L,I was upset because I had put the wrong fake mustache on and my friend was wearing the one that I had planned on wearing (I am planning on wearing a fake mustache and fedora to one of my meetings today so it isn't as random as it sounds)
22185L,Involved pizza
23042L,I don't remember much but one of my friends was having trouble saving a file
11997L,I dreamt one of my high school friends didn't want me to be friends with my other high school friend.
15996L,I was doing tele-therapy but my family members kept coming into the room in which I was doing it. I was at the home of some other therapist. I also was wearing pajamas. It was a bit odd and slightly stressful.
2590L,super distressing dreams  one about a dinner party with my aunt where I served the mashed potatoes early. I explained to her why i did that accidentally and there was miscommunication. she ended up getting mad at me. another dream where this guy I dated had an outdoor party without me and I found out when I went over to deliver a gift - it was a plant. we discussed it after and there wasn't any resolution. another dream was that my bedroom got broken into at my apt complex and the person also stole all my favorites jewelry that were all gifts from my parents and cherished by me.
1746L,1. I was in a hotel with my wife. In the dream I got up to go to the bathroom. When I came back I was in a locker room . I was now a plain clothes cop with other officers. We were told to clean out our lockers because they were being replaced.  2. I was in a unknown city. I was single and trying to get to my apartment. I went by subway. I got off walked into a parking garage and went up a ladder to 3 diving boards. I started down but had to clean off cafeteria trays because the diving boards were being removed. When I got to the bottom I put my trays I had collected in a dumpster. While there I met a young British woman who was doing the same thing. She said something to me about stacking the trays neatly. I said I could and I felt I was trying to flirt with her.
1837L,I was a nurse in the hospital I used to work. I was dressed in white shoes and pants and a navy blue golf shirt. A female infant was there who just had brain surgery. My 5 siblings were visiting. She was on 3 north . I told my siblings I had to work on 3 south but would check on her. They requested that a certain nurse named Linda not take care of her because Linda had a cold. I told them I would discuss this with my boss which I did. I then told my boss I had to go to my locker to change my shirt. I got on the elevator but ended up driving my car.
12680L,I was down the shore with someone. We went to buy airline tickets for home but we're unsuccessful. We then saw and went to talk with my sister and her husband. We got word of where to buy the tickets. He got into a truck and drove away leaving me there. The rest of us said that was odd. I then started walking up a long bridge past a long traffic jam. I was now with my wife. I looked back to make sure my wife who walks slow was still following me.
18107L,Something about 2 young doctors who worked at the hospital I worked at   We were at a conference. I think.
1841L,Not a nightmare but unpleasant dream. I dreamt I lost my baggage when checking out from a hotel.
2003L,Unpleasant dream.
1889L,I saw someone with multi colored hair
15597L,"My husband had a chunk out of his forehead, but it didn't seem to bother him.   I was eating hair from a basket and felt really neutral about it. When I'm awake, thinking of eating hair makes me gag."
2000L,"I was back in nyc picking up takeout dinner from a giant restaurant owned by a person that lives in my professor's building (who she referenced in class yesterday). A later dream i was running on a sidewalk in a park, and I came across my professor (same one) and was talking with her about a past ankle injury. Then ran into some people from high school and was walking and talking with them at various points."
14171L,"I was at a swimming pool school, then at a farm that was targeted by a nuclear bomb so we had to run and escape by car"
18613L,I dreamt about the election
15153L,"I was with a man I had a crush on about 15 years ago walking through a cafeteria line. I took a straw over to a room that looked like a tree house and had two women in it. I showed them that I had peeled the straw apart at the top and told them that if I hadn't peeled it, it would have said one thing about my personality, but since I had, it said another thing. I thought this was hilarious, but they just politely smiled."
16773L,"I dreamed I was at some sort of retreat. We were having ""Sunday dinner"" like on a farm. I was packing little baggies of dollar store trinkets to use as prizes for something. My friend then told me she was pregnant, and she was visibly pregnant but I hadn't wanted to ask. She said it was unintended but that she was happy about it, except she was afraid it might make her worse at salsa dancing."
18108L,"I was living in Connecticut again. I decided to get a motorcycle and went to a motorcycle rally even though it was literally the first time I was driving one. I pulled into a gas station and just sat there because I didn't know how to gas up and wasn't really sure how to accelerate. A woman and her daughter drove up next to me and agreed to help. The mom got on the bike with me and the daughter rode slowly behind me, and they took me back home. I worked and lived in the same compound and I brought them into a secured area at work. They left after a bit and I went into a room where there was a big hand-operated candle-making machine. I remembered that this was actually a historical re-enactment area. ""Ben Franklin"" was making candles. A guy came in and I recognized him as a childhood friend. We spoke warmly to each other and held hands and watched the candles being made."
18827L,I dreamed that I was watching the election and Donald Trump lost AZ but won every swing state east of the Mississippi and won the election
1887L,I keep getting these surveys late in the day so I don't remember. But I do remember that I dreamed about something. If I got these first thing I could actually give a good description
2149L,"I dreamt I was going on a short deployment again for the Air Force and when I got to my assigned barracks, someone had already sort of moved into the beds adjacent to me but then put their extra items on my bed.  I then decided to move all their stuff back onto their bed and move myself in by setting up my bedding.  I also explained to the other women in the barracks that its ridiculous that this other person had decided to bring so much extra stuff that she need to use my space, considering we were only going to be there for about 2 weeks."
1830L,"I was going to work with my refrigerator, I don't remember why but there was a reason. After work I got into a tiny plane with some of my friends to Caribbean islands where there were lots of other tiny planes with young people partying. But suddenly I found my husband with bruises on the chest and we tried to help him. We got back in the plane."
7259L,I traveled to Miami but I had left something unfinished at work so I told my cousin (who was in Miami) to wait for me to come back from work. So I left Miami to go back for few hours to my work (at Peru) but I appeared at my highschool classroom. I had to perform a dance that apparently we were practicing.
1851L,"I kept dreaming that I was late to my dissertation defense. I was talking to a Japanese man and speaking broken Japanese but was surprised at how much I could say. I told him (in English) that I had just received the comments back on my thesis. It was in the form of a large collaged book. All the comments were very positive. I could see the people who wrote them as I read. But I got about halfway through reading when I realized that I was going to be late to my defense. I had not practiced. I wanted to arrive early so that the IT team could test the video connection. I raced over to the room I was defending in and everyone was there except the internal/external examiner who was connecting online. I was surprised that they decided to hold it in-person. My external examiner had her hair cut short and did not smile as she looked at me. I knew the first line I would say in my presentation, but nothing past that. I felt comfortable that I would be able to give the presentation, as I had presented on my research many times before; but I was worried that without practice I wouldn't be very eloquent. Then I realized that I was wearing sunglasses, and that my glasses had a smudge. I wanted to go to my office to get my lens cloth. I asked if I had a couple of minutes, and my supervisor said yes. But as I left I heard the voice of my internal/external connecting over the video and I went back in. Do I have a minute? I asked. But everyone said I should start now."
1931L,"I was with a group traveling through a museum. In an atrium, a man started dancing with me near a small jazz band that was playing. I understood he was my father and he kissed me. I was looking for my dream-boyfriend, who looked like a younger version of my dream-father, and I saw him running across the hall on the other side of a glass door. I waited for him, then we ran together to find a map. All of the rooms in the building were labeled by teachers' names (at this point the building we were in was a school). I figured out a way to where we needed to go, which involved climbing up a vertical cliff edge. I surprised myself by being able to climb it. The texture was a bit soft, like snow, so that I could crush my fingers into the cliff to get up. At the top, someone had to pull me over as I didn't have the strength to get myself over the edge. We found a staircase to the rest of the building and kept going. We found a peculiar staircase with a twisty railing that the building architect had designed for herself, that if you followed to the end led you into a wall. At an intersection in the building, I led the group of us down a hallway that led to a dead-end which was a huge room of storage for Balinese instruments. We turned around and went outside. I was with one girl now. I was stopped by an elderly woman using a walker who walked right next to me and sandwiched me in between two other people. I couldn't move until she passed; and then she yelled at the girl behind me for blocking her path. As we entered a courtyard, I realized how crowded it was. Almost as soon as I had realized this, I realized with dread that no one was practicing social distancing. I pulled the collar of my t-shirt up to my face to cover my nose and tried to avoid everyone's path as I walked. Finally we saw our group up ahead, all wearing matching brown shirts and standing 6 feet apart, and ran over to them."
11753L,"Several parts that I don't know how fit together:    A male friend and I were dressed as toddlers. We were with an actual child, and we entered an auditorium that was full of seated people. The man on the stage announced that all kindergarteners should sit in the very first (back) row. My friend entered the second row and people were surprised (I think the rows were in order of age). I followed him in. Our kindergarten friend went into the first row but then he climbed over into our row. I put him on my lap.     There was a man who had been trying to get my attention for a while but who I always ignored. One day as I was walking through the building where he worked I finally acknowledged him and said ""bye,"" and called him a nickname (I forget what it was). He said what? I repeated it. He came over to me and I put my arm around his hips (he was very tall). He gave me an earring, which he was helping me put in my ear. It wasn't going through because my hole had closed up a little. I took the earring and pushed it through. There was a little blood. He gave me an alcohol swab. I said you can do it again. He came very close to my face and put his arm around my head, caressing it a little, to meet his other hand at my ear. It felt nice. I thought if he kissed me it would feel nice. He finished putting the earring in and it was very long, like a necklace. The back wasn't on properly so I fixed it in place. The earring played a song I didn't like and I had trouble not looking like I hated it. Later I was outside in a garden. Both our cats were there and they both barfed. I was looking at a plant and trying to figure out how old this guy was. He was a billionaire and I thought he must be in his 40s or 50s even though he looked very young. There were other men who wanted me too. One had a startup and made millions of dollars and had always wanted to be with Bjork since he was young (I was Bjork now?). Jake came over and I talked to Jake about whether to date this older person. Then Jake turned into my mom and we were in a kitchen. I said he's 51 years old. And she said No! Creep! and I thought yeah, she's right.     There was a new dad with newborn twins just home from the hospital. He told me that when he got home he farted at them and one baby pooped and the other one peed. I helped him clean up the babies along with the man's mother. "
12297L,"I was at the climbing gym, which had just re-opened, with Sarah. We had just got there but Sarah wanted to leave already. The power went out, so I agreed to leave. It wasn't out for long and when it came back on I thought I'd do just one route before I left. I walked around and saw Lauren but didn't say hi because I didn't want to stay too long and only had a few minutes to climb. I walked up to a route marked V1 but it looked like the start hold was high up. There were holds from other routes on the way up that I tried using, but they were hard to hold onto despite looking like jugs. When I put my feet up I realized I was still wearing socks and not my climbing shoes. I gave up.     Steve called me asking if I had a flashlight. When I asked what he needed it for he said he had to look between his mattress and boxspring because he had bedbugs. I was horrified and sad because that meant that I couldn't come over anymore."
12709L,The only part I can remember is someone giving me a baby bird to take care of. I asked them what the feeding schedule was and they told me what intervals to feed the bird. I spent the dream feeding this bird while doing other things I can't remember.
13304L,"Steve had just been to an event; maybe a Black Lives Matter protest. I had a feeling Nneka was there and he didn't tell me outright it was her but said someone named ""Nica, with a K"" was there and I knew who it was. I was outside at the event/protest and saw S. I didn't talk to him or anyone and avoided him.     The mom Courtney (?) from the instagram account napkinapocaplyse was leaving for vacation. I helped her lock up the house. She biked out the front door with the twins in the back. Outside I saw Stephanie and Jackie who I gave a quick hug to but said I couldn't stay. I was on the top floor of a building and I had to get out. I went down in an elevator and it landed in a Japanese restaurant in the basement. I spoke to the waitress in Japanese, telling her how many people there were, but we had to order in English. There were trays being handed out with onigiri and sushi. I tried to grab a tray of umeboshi sushi but instead I just got plain onigiri.     I was practicing an interview with Anum for an unpaid internship. I said that my previous work at the career center had prepared me by allowing me to develop transferrable skills like time management, organization, and initiative."
13731L,"I was with a friend who was wearing fancy clothes, a heavy white button-down and suspenders. I was very attracted to him and we kissed. He was bald and looked like one of the guards on Orange Is the New Black. Later I was outside at some steps where people were sitting. It was dark. I saw a bat fly up to a girl's head and eat a bug on her hair. She didn't notice. I saw the guy I had kissed with other girls and saw him kiss someone else, then walk away with her. Later I saw him again and ran up to him and kissed him, but he was old and looked like Joe Biden. I got ready to head out to get more of my favorite snack at that moment, ketchup chips. I wondered if I would hate them from eating them too much and associating them with this relationship. I walked to a river and stood over a bridge looking down. I saw two white and soft-looking turtles. I saw more animals too. Two friends came and I said look at the turtles but we couldn't find them. Then I was with Shelby and Hayley in a small room painted white. The room had curved walls and a high ceiling. We took our clothes off to clean the walls. Shelby climbed up a ladder and started hosing the walls down. I saw two condoms stuck to the walls and peeled them off into a trash bag. It was so disgusting.     I was with Cindy sitting across from her at a table. I told her that my bedroom was very small but cozy and cute. I was describing it to her. I said there's a closet on one side, then the bed, then a bookshelf... but I couldn't remember what else was in my room.     Someone (maybe Cindy) told me that a forest in town had been burned down to make room for some kind of development. I said but what about the hammerheads?? There was a nest of pileated woodpeckers in the forest with baby birds that hadn't fledged yet. I knew that they were probably dead. I was so upset. Why couldn't they wait to tear it down until after nesting season?    I was out shopping with my mom. I waited for her outside a store and decided to go into a different store. As I walked in I realized there would be people and I might have to touch things, but the door was propped open and I walked to avoid passing others. I thought I should leave right away but saw jigsaw puzzles and other games and looked at those first. Then I left and went into a kind of atrium, the kind in shopping malls, and saw my mom running ahead of me. I wanted to run and catch up with her but it was hard to run so I just yelled ""mom!"" and she stopped."
14205L,"Can't remember much; I remember one part where I had white ants crawling on me and they were very itchy. In another dream, I saw two people in blackface."
14752L,"I was in a hallway with many people. Everyone was bent forward and linked together, so that they created a kind of bridge. Someone ran across. A little boy was there and wanted to run across. I was at the end of the hallway with him. He jumped up and caught the end of a ceiling light, which I was afraid was going to be damaged, but he let go and landed on the human bridge. He ran across, and then I noticed that a pipe had been damaged from him and was leaking. I grabbed a bucket which turned out to be a trash can and put it under the leak to catch the water. I ran to the stairwell to get to the 3rd floor to find the psychology department staff to get help with the leak. I got off on the 4th floor, realized it was the wrong one, and finally found the 3rd floor. At the middle of the hallway I ran into Myra. She asked if I could help with something and I said I'm busy and it's urgent. She didn't seem to care and kept telling me about a hotel she had booked for a conference, and that the bank account she was using was U.S. She stopped to look for something in her papers and I said find me later, I need to go sort this out. She said it must be urgent and I said yes. I ran down to the other end of the hallway and found the reception desk. The girl who works at health services was there. I told them about the leak. Then Tammy came over and her hair was up. Then the leak and the trash can were on the reception desk, right between us."
15453L,"Steve and I were looking at shelves of VHS tapes and DVDs that belonged to his landlord. I was trying to pick out a VHS tape to watch because we had a VHS player. Then I realized I didn't have to limit to VHS, I could also choose a DVD. Steve wanted to play Season 5 of a children's wrestling show which we had never watched. I said what about starting with Season 4? I saw the Season 4 DVDs. Then I saw Season 3, 2, and 1. Yeah, said Steve, 1! Then next to the first season there was a Curious George book. I pulled it out and started reading. The words in the book were so worn it was hard to read. But some of the words had been written over in pen. On the second page it said in the narration [my name] (redacted for participant de-identification!). I said wait a minute. This book must be mine! My mom must have sent away for a custom book when I was a baby. But why didn't I have the book anymore? How did it get here and what was the Curious George book I had in my room?"
18258L,"I remember waking up and reflecting on my dream and thinking it had a parallel to the book I was reading (Rebecca), but I can't remember now what the dream was."
13138L,I remember cutting a large green and blue poster board to make a pop up card for one of my close friends...I forget who
15718L,"One of my friends from home was proposing to his girlfriend with a very extravagant set up. However, I think for most of the dream I thought it was for me/organized by my boyfriend. Another childhood friend called me in the dream and spoke to me in only Vietnamese to bail on our hang out. I also had a falling out with my best friend in the dream that was super stressful and I think violent, too. My lab colleagues were also in my dream."
16334L,I visited my ex's house and his mom opened the door and invited me in. It took awhile for me to realize that it was my ex's mom.
18335L,My boyfriend was falling in love with my best friend. I was on the phone with my mom who was at work and she left her cell phone at home and was using her work phone to reach me. I was trying to keep her on the line because there was an active shooter in the area.
20130L,two lab members were in a conflict and talking to each other during a meeting.
23027L,My boyfriend and I visited my hometown and had lunch w some old friends from church. I also got stuck in a swamp trying to save a baby while someone else tried to hold off some alligators. I also tried to get my grad school cohort mate out of a contraption she had gotten sucked into in the swamp.
40LB,I have a lab presentation today so I dreamed about presenting. I also dreamed about one of my clients filling out an intake form.
2703L,"Dreamed I was at a carnival, walking around and hanging out with my family. Also dreamed that I received two NSF notices from my bank, and I was really upset because the bank teller hadn't told me that I didn't have enough $ to withdraw."
15528L,Shopping and I forgot to wear my mask... very anxious and trying to figure out what to do next.
2356L,Deer hunting with my oldest son.
2688L,I was a young man again living at my parents and I attended a wedding at my uncles house for my cousin.
12204L,I was a high school athlete again training for swim competition.
18667L,I dreamed that my swimmers dumped water on me and I got mad and sent them home from practice.
7765L,sleepover  hiking  boyfriends
12138L,wearing masks for pictures  losing a bag/backpack  teaching classes
12679L,"Lost in a city and trying to make it home, but I was lost and the city was either bombing/rioting and was on fire in places and traffic everywhere; I was trying to figure out landmarks, but lost and trying to call home on a cell phone    White House was bombed and a couple of other buildings as well; there was small excitement that this would lead to a change in leadership :("
15124L,college life mixed with current life
15417L,"it felt very intense when i woke up, but i cannot recall now"
15749L,there were ants all over a room in the house and I had to go out for ant spray before the cleaning lady came. The cleaning 'guy' came and brought helpers. No one was wearing masks and they weren't staying 6' apart.    in another dream my daughter was fighting with older kids.    I walked into church (maybe by mistake) during church services. And had difficulty findings a seat that was a safe distance away from others. My husband came in to find me. We found hand sanitizer. Someone was arrested from church but i don't know why.
2277L,Kissing someone
2185L,So many more dreams than I typically have.  They were very disruptive and made it hard to fall back to sleep.
2266L,It wasnt bad last night.  Just a few dreams but nothing disturbing
2481L,"I dreamt of my children, I wanted to see them but I couldn't seem to find them."
12065L,"I dreamt I had to dust my house, but I wanted to rest and I had to keep dusting"
12164L,I was trying to clear out my garage but i couldnt open the door. No one would come to help me.
13038L,"I wanted to plant my garden but I wasnt allowed outside to do it, so I was planting the seeds in the house in different places.   It didnt seem right , so I was reaching out my windows and trying to plant into the ground outside my windows.  People kept yelling at me from the street as they drove by"
13996L,"I was dreaming agin about moving, moving myself, moving some of my kids and helping some of my friends move."
14096L,"I dreamt that my granddaughter was calling me on the portal , it was so real, I actually would wake up thinking she was calling.  Twice I got out of bed thinking it was true and I thought something was wrong, but then I realized that if there was something wrong they would have called my phone, so I was then able to go back to sleep."
14454L,"I dreamt a lot, at one point when I woke up i thought, I bet there will be a survey int he am so I better remember my dreams and then I woke up and really cannot remember any of them!!!"
15174L,"at one point we were driving and there was flooding and we could not go on one road and had to go straight but it was a very seep pool of water to get through and it splashed over our vehicle, and we just kept coming back to the same intersection and had to keep repeating the same thing and then my children were in a cabin of some sort and they were trying to teach catechism to some older guys and they were non believers and kept being disruptive and my kids became very frustrated with them all."
15884L,"I dreamt that I went to the doctor and was told I had something wrong with me (didnt say in the dream what that was).  I was told to get my affairs in order and I had to tell my kids.  It was a very sad thing, everyone reacted in different ways and they wanted to see me but couldn't come.  I told them I was ok to be alone and I loved them.  When I woke up I had tears on my face and still feel the sadness now"
16797L,I dreamt of going to the beach but not able to find the house I wanted to buy.  I went up and down roads and i was getting very agitated because I wanted to find it and look at it again.  Then I was suddenly at someone élevé house in a different place and I was explaining where I was trying to go.
18269L,"I bought a house on the beach,( I have been looking for one), i stumbled across it and the price was right and I bought it on the spot.   After I was talking to one of my daughters and was worried I acted without thinking it through but it was beautiful and just what I was looking for."
18627L,"I dreamt I was at some kind of lake, river something like that, but there were also horses there to watch racing.  I had to park in a horse stable nd when I backed out I hit 3 cars and couldn't figure out how I did that, I was really upset because i had never had an accident before.  Then we were on a boat and people were all talking about my accident and making fun of me and I was crying and asking them to stop"
19627L,"I dreamt that my son had to take a bus somewhere and I dropped him off at some cabin by a lake or river or something, then I waited on the side of the road waiting for the bus to come and his dad was further up the road waiting too.  Every once in a while a wave would come and the road would fill with water and I was very scared I was going to get washed away, I was getting all wet, while his dad wasnt getting any water on him.  I was very scared and woke up wiht my heart pounding"
20072L,I was dreaming about a work project i have and trying to make a lot of decisions but no one seemed to be in agreement and it was very frustrating.  every time I woke up i would go back to sleep with the same dream and it annoyed me
22328L,I dreamt that my grandson was running all of the place and I was crying I was so happy (he has Down Syndrome and is only 2 yo).
77LB,"My dreams were all over the place, and constant, they never stopped, I cannot remember all the details, i just know that they felt very real and I was moving in a lot of different directions and it made for a very restless night."
2311L,"In my dream I was hanging out with the Seinfeld cast and all of a sudden there were these cats walking on their hind-legs, saw us and ran away. Then, I was sleeping and woke up to meows and my 10 dream cats were all being killed and carried over the shoulders of these weird cats that were walking on their hind-legs. I stopped them and had to fight them off with a knife and they shed their skin and turned into people with a giant eye for a head and ran away. I was so tired but tried to stay awake to protect the remaining cats but every time my eyes shut these things showed up again. I eventually ended up with the police and we tracked these things and they had their cat suits in their hands and we tried to nab them and they turned their eye on us and it was horribly painful and bright and I woke up screaming."
12171L,I was clothes shopping and every time I tried on something the clothes yelled out the size and brand I was trying on. The mall was like one giant warehouse sale where people were just trying on clothes everywhere.
14085L,Everyone had silicone tupperware lids and the cats were in charge it was my job to put the lids on all these giant cans and bowls in the factory and you would get scratched by a claw whip if you didn't do it right and the leaked.
16540L,"I had missed a big deadline at work and was trying to fix it and was obfuscating, even though it was my fault because I couldn't work. but everyone was really big and I was little. All the colors were cool tones and things were a little caricature-lke."
2162L,I went out during the pandemic but people kept coming too close and I was worried I'd be infected
13480L,hung out with one of the local chefs from Top Chef
15803L,something about moving next to a place that had mini-horses
18104L,"was out in public but forgot my mask, was very panicked about it"
12137L,The girl who I am in love with told me she all about a girl she wanted to hookup with.
2270L,"A little blonde girl (resembling a girl I babysat for when in my 20s) was in a kitchen in a very large house that was kind of a Spanish colonial or Italian villa style with arches and a courtyard garden which I could see somewhat from the upper floor I was on, and she was doing something in the kitchen with a biscuit; she was riding on the biscuit and she was elevated off the floor. I was observing her; she was not my child. Didn't want to be there, it was a mess, dark, & cluttered. When I woke up I felt so relieved to be in my own small house which is clean, bright and uncluttered."
2302L,I remember only fragments: I was chasing someone or something or being chased very fast. Second dream: I was looking down on a very stupid-looking face resembling a space alien who was smiling at me with an idiotic expression; I felt like I had to bear something insufferable.
2542L,I had so many dreams but when I woke up they vanished and all I could picture was a black screen.
12496L,"There was a rally in an auditorium or a gymnasium and people were sitting there just terrified afraid to look up and someone was running around speaking and trying to collect money or something and it was absolutely terrifying because everyone was afraid Trump was going to win another election. I woke up just not able to know if I could sit through another election. it was too much, I'm so scared."
