unique_id,sleepdiary_dreamcontent
23505L,"'I dreamt at least three dreams.  One of which, I took a test and my professor had one of my old teachers in high school grade the test.  She completely failed me and made no final note of what I had gotten wrong on any of the questions.  I was completely distraught.  I started pinching my hand and once I did this I would instantly grow these dangling yellow larvae like filangees with black coverings.  I would then try and get rid of them and more and more would sprout up....it was terrifying...'"
29068S,"'I dreamt before each awakening  but only remember the last one.  I was an observer throughout this dream. First I watched my older daughter and husband, in bright green wet suits and diving equipment, under water and felt nervous for them. I wished they wouldn't  do that. Then I watched a 'goofy' guy, dressed similarly, play under water, swimming away madly from a vicious looking creature with big teeth. Then he followed 3 divers but when he gets close, he sees that they are 'bad guys', one being woman with long blond hair. He gets out of the water.  Then suddenly green clad wet suited people are in my yoga studio and are about to demonstrate some yoga. I am dubious about this. First my yoga colleagues are ordering food, but I had eaten already, so didn't.  I am  trying to ignore everything, by writing something in a note book at a table.'"
22567L,"'I dreamt being in a vacation house with strangers, people from grad school, people from high school, and family. There was lots of drinking. Someone touched me inappropriately and I told them off.'"
11591L,'I dreamt but don't recall the details (as per usual)'
18317L,'I dreamt but i cannot recall details'
1689L,"'I dreamt but I don't remember them, and I don't think they were nightmares!'"
761S,'I dreamt Coronavirus was being found on green grapes so they banished grapes from the supermarkets'
17865S,'I dreamt Donald Trump won the election. Don't remember much more than that'
19567L,'I dreamt fat boy came out on the WH steps.Someone walked up and stuck a needle in his ass. He fell forward. Second dream: I made a 136 stuffed eggs-very elaborate. Laid them out and lightly sprinkled the whole lot with strychnine'
7688L,'I dreamt flew to Hawaii with my dad (who is deceased). It was a scary flight and thought we were going to crash into the ocean. But we didn't. In Hawaii there we some other girls with us. It was weird but also great to spend time with my dad. And in Hawaii. I remember everything was Way overpriced and  customer service was horrible'
20063L,"'I dreamt for sure at least 3 different dreams, but now I can't remember them.'"
28393S,"'I dreamt I asked Taylor Swift out for coffee, and then that I had to flee a Halloween party at a school by switching costumes with a man at the party to disguise myself.'"
6288S,'I dreamt I cheated on my husband with a transgender woman who lived in a crowded apartment. I immediately regretted the decision and we had a baby together.'
14963L,"'I dreamt I failed the USMLE step 1 (I'm not in med school), and also that I failed the law portion of it (there is no law portion of it).'"
22399L,"'I dreamt I found the house used to film the Munsters TV Show (how silly is that). And when I was backing out of the driveway and wanted to take a picture from further back, I couldn't work anything in the car properly; it was as if I just didn't know how to drive anymore.'"
16078L,"'I dreamt I got covid, I also dreamt I lost my phone'"
22926S,'I dreamt I got drunk and was crying with my school librarian and I was super embarrassed that I had gotten drunk enough to do so.'
24672S,'I dreamt I got into Minnesota's PhD program but was fine with turning them down.'
2997L,"'I dreamt I got my period while in the grocery store. I was only halfway through my birth control pack, so it was two weeks early. I'm sorry you had to read this.'"
4846L,'I dreamt I got on the scale and weighed 150 pounds (a lot more than my normal weight) and was shocked by this. I know there is more but this is the only part of the dream I can remember.'
25423S,'I dreamt I had a bad cough and dreamt that I was joking with someone about how oatmilk is not good in coffee'
12992S,'I dreamt I had a college 10 year reunion then we all went abroad together. I got lost trying to go shopping using my house mother's Vespa hahah.'
12135S,'I dreamt I had a colony of ants living in my left shin under the skin. There was a hole they could crawl in and out of and it hurt but I couldn't get rid of it because the Queen ant was too strong. I was looking for help to find a treatment to get rid of the ants but I never found it and I just had to deal with the pain in my leg and then no one wanted to be around me because it's gross to have bugs living in your leg.'
3374L,'I dreamt I had a fever. Then later I was at a trivia competition with friends and it was very difficult to get a spot in the competition. And then I was at a concert with my family and a guy was covering Elvis songs and then sang to me.'
23608L,'I dreamt I had a group of friends around me for a bachelor or bachelorette party and I was judging them in groups on how well they answered trivia questions and at one point I was holding all my notes and a laptop and I had to get on a roller coaster and hold onto all of them'
14782L,"'I dreamt I had an affair on my husband with someone my husband (very bizarre) and my mother found out and told my husband. But when I confronted my husband about him knowing, he pretended he didn't know. Makes no sense'"
1365L,'I dreamt I had an argument with my mother.'
19060S,'I dreamt I had blood clots in my leg and the hospital was too busy to do anything about it.'
21756S,'I dreamt I had Corvid 19nand woke up panting'
16930L,'I dreamt I had eye aids that lookedlike my hearing aid batteries but came with eyelashes on the small metal batteries'
26325S,'I dreamt I had moved house to a place on the beach. My old neighbour visited and we were trying to convince him to move there too.   We had about 20 children living with us and we were trying to work out a chore schedule so that the house started tidy and we could keep track of all the kids. Or neighbour mentioned that he saw one kid take pineapple out of a container and worried the juice might attract ants.'
29854S,'I dreamt I had my period'
14762S,"'I dreamt I had returned to the USA and was welcomed by many of the young women I helped educate many years ago. I had returned briefly to start laying a foundation in order to come back for a longer period of time. A young woman asked if I had my books, I used to sell feminist books for women's health. I let her know that I didn't come prepared for all that yet. I went to the second floor of the event, it was lots of little booths selling handmade crafts. I went upstairs and saw our friends from Austin. Was picked up and lifted into the air by my friend Bri. It felt good to be so positively welcomed.'"
1815S,'I dreamt I had some friends over. With one friend I went for a walk with her and her child who is about 6 but looked around 3 in the dream. Her little girl was running toward a train- she kept telling me to catch her but I couldn't. I was terrified. My friend ran ahead a got her. And was so mad at me.'
5499L,'I dreamt I had the virus and had to be hospitalized. Then I dreamt I needed surgery for it.'
5957S,'I dreamt I had these rashes or acne like growths all over my body in one dream. Also dreamt that I was at an amusement park and waiting in long lines with friends.'
5726L,"'I dreamt I had to do something, I think it was related to work but I can't remember.'"
12065L,"'I dreamt I had to dust my house, but I wanted to rest and I had to keep dusting'"
2937S,"'I dreamt I had to give a data blitz talk for my grad program as part of a whole presentation event night. Everyone had to do it but this isn't in our requirements, and this was like the second time they were making us do this, so I didn't prepare and didn't do it. Also this was taking place at my high school which seemed normal at the time and my family and friends from high school were there, but is definitely weird thinking about it now. There also was a trivia contest about the movie blade runner as part of the event and my friend from high school won.'"
5120S,'I dreamt I had twins and I was in vacation and I got locked out of my hotel room. The twins were with me and I had to work and be on video for a call. I could t find the mute button on the video platform.'
10027L,'I dreamt I hooked up with Michael Mando (actor from Better Call Saul)'
1720S,"'I dreamt I kept ending up in very public places (like a gym locker room) surrounded by people, and then remembering COVID-19 in the middle of it. I also had nightmares about interpersonal stressors.'"
9114S,'I dreamt I kept ripping my finger nails off by mistake.   I dreamt bad people were trying to catch me and put me in quarantine.'
9882S,'I dreamt I lost my car keys so I had to get a ride to a place to get a rental car.  But then I left that place and lost those keys too.  So then I borrowed a motorcycle but I got home and somehow forgot the keys to that at Burger King where they rent them out.   By this time I was almost 2 hours late for work and just lost it.  Then my client was there and comforted me but wouldnt stop talking so my anxiety got worse.   When I finally got away I go to my next clients house and they cant find their dogs leashes and I was just so angry and frustrated.   By the time they found they had like 2 min to walk tigemmmmmmmm/// ty'
7033S,"'I dreamt I met a friend that I went to school with from kindergarten through high school. He had a mustache similar to my boyfriend's mustache for some reason. We were at a bar talking. We were both really happy for each other's success. Then other people from elementary school started showing up. It was strange because they were adult sized, but looked the way they did when they were kids. We all talked about how happy we were for each other and how they were to see me and the first friend together. Then, when I looked over, his mustache was gone.'"
8082S,"'I dreamt I moved to a new house that I liked a lot, with an okay view. It had 3 schools nearby, but some guy died near it too.'"
16600S,'I dreamt I ran into my ex and he was with his new girlfriend. I dreamt they had a baby and the baby had a giant head with teeny tiny features and looked ridiculous. I was really mean and told them their baby was ugly (even though this ex and I really get along) and remember thinking I was happy I didn't have kids with him.'
6157L,"'I dreamt I returned to a duplex apartment where I was living with my mother and sister. There was snow on the ground, and written in the snow by the door was ""Easy come, easy go. Sorry!"" The door to the apartment was open, and when I entered it became clear that someone had taken all of our electronics (laptops and a projector). She (I knew the thief was a woman) had left all of our art and books, which I was thankful for. We started theorizing about who could've stolen our stuff, and for some reason came to the conclusion that it was a conspiracy between our next door neighbor and the baker whose shop she liked to visit.'"
20496L,"'I dreamt I saw my brother-in-law, sister in-law and nephews who we haven't seen in a few years.'"
17427L,'I dreamt I visited my daughter and admired their nice garden with a nice pool like a natural beach with Islands birds and so on. Not just an ordinary pool.'
6069S,'I dreamt I was a character in Game of Thrones and I was living throigh the world of GOT.'
20110L,'I dreamt I was a contestant on a reality competition show.'
4052L,'I dreamt I was a contestant on a reality tv scavenger hunt in a giant shopping mall where all the other contestants were members of quiverfull families (e.g. the Duggars from 19 Kids & Counting). I have no idea where this came from.'
4117L,'I dreamt I was a public restroom and there was a lack of toilet paper. I remember it as a quite stressful experience.'
10069S,'I dreamt I was a teenager again and my mother grounded me and wouldn't let me go to prom.'
24766S,'I dreamt I was at a childhood friend's birthday party and didn't bring a present and people didn't want to sit with me.'
6621L,"'I dreamt I was at a college sporting event with my family but I thought I might have left some candles burning in the van we took to the stadium. I took the keys from my dad and promised I'd be back soon but there was the possibility I wouldn't be able to get back into the stadium. But then I ended up in a BC library with a couple BC friends. I was floating around with them like it was an anti-gravity chamber or something and we were all very excited to see each other. I knew I had to get back to the van to extinguish the candles, but I thought it would be okay because I was with friends. Then someone came in to kick us out of the library and I woke up.'"
11646S,'I dreamt I was at a department store shopping for a variety of things. I was dealing with a sales person and asking his opinion a lot. He said he found  set of luggage normally 3 thousand for 4 hundred'
22043S,'I dreamt I was at a fancy party with lots and lots of fancy desserts. I wasn't invited but I pretended to be just to eat the desserts.  I ate a particularly huge dark chocolate covered strawberry.'
5941S,'I dreamt I was at a group dinner and it snowed heavily. When we went to parking lot my car was missing. It had been crushed by snowplow and moved to corner. Earlier I was told by girlfriend that I smelled bad. I went to wash room and I had this thick substance on my hand. As we left in another car I worried about my smell and the insurance to cover car. As I woke I still remembered the agent name and it still seemed real.'
10192L,'I dreamt I was at a mall and there was a fire'
79LA,'I dreamt I was at a resort with my husband.    But it was not the husband that I was married to although my family disliked this person just as they did my ex-husband.  One thing that sticks in my mind is that he bought me a beautiful Coach bag.   I love Coach bags and own half a dozen.'
6312L,"'I dreamt I was at a water park, and I saw some high school friends who went to the water park together/without me, and I felt somewhat hurt/embarrassed.'"
26951S,'I dreamt I was at a wedding and very drunk and embarrassing myself in front of someone who I thought was my ex.'
14212L,'I dreamt I was at an AirBnB trying to sleep before leaving for a trip the next day. But then my friend (who is married in real life) showed up and was trying to kiss me but I told her I was sick. Then I was worried that the house's host was judging me and that she'd tank my AirBnB rating.'
20026L,"'I dreamt I was at an airport. Had no warm clothes with me, forgotten at home. I was talking to relatives in the lounge.'"
15986L,"'I dreamt I was at my boyfriend's house (we live together, so this place was new) and we were trying to go to dinner with his dozen housemates. I recognized all of his housemates as friends of my ex-boyfriend but didn't say anything. This house had many floors and we kept forgetting things. I think there was a river behind it, because I remember kayaking and entering in through the basement. I kept forgetting my keys and ID which were in a strange lockbox on a floor of the house that looked like an office building. I finally got my things but my boyfriend forgot his stuff and needed to go to the very top floor to get it. His friends were getting inpatient, so a dozen of us piled into a mini van. For some reason it was snowing. They kept wanting to leave without him and I was panicking because I was stuck in the middle of the back seat. At that point, I woke up.'"
11482L,"'I dreamt I was at my grandma's old house but it was in Paris, and I was trying to get an Uber to the airport with my friends but we put in the wrong address and then had to hitch hike.'"
4996L,'I dreamt I was at my grandmother's house in Maine with my whole family. I was sharing a room with my brother. It was really dirty and I kept trying to clean it and reorganize it but I couldn't get it right. I was really confused and stressed out about it.'
18023S,"'I dreamt I was at my mother's house with a new girlfriend and she kept making a mess. I kept trying to keep up with cleaning up after her but I couldn't. My family didn't seem pleased with her.  Next dream I'm going to a new church with my wife and it turns out to be some kind of cult. I'm being asked to turn in my keys, there's initiations that I don't want to participate in. I see a baby that I caught, all grown and her mom who is a little strange in real life is part of that church, so another red flag. I lose track of my wife, she's deep in workshop while I navigate my way around the space. I have to go through some obstacles with girls fighting each other and having to break up the fight and then I could pass to the next area and finally get out. I run into my professor and we both agree we need to leave immediately from this cultish place. As we walk out together we start talking about eating a huge breakfast, with fluffy pancakes and coffee. She's in total agreement and will meet me there. We are in the parking lot already and as she walks away I realize I don't have my key, I'd have to go back in and try to reclaim it. I feel embarrassed to tell her to give me a ride instead. So i head back in and try to get my keys and have to jump all these hoops. Once i'm inside, my wife sees that I'm causing a commotion in order to get my keys. Everyone's trying to get me to calm down and just accept that their way is the best. I fought and fought in a calm calculated way. I finally get out and my wife is wondering what's going on. The whole time I could feel my phone vibrate with messages and it's my professor sending me pics of the fluffy pancakes and her asking me if I'm okay. I'm so grateful she's not upset with me not showing up soon after her. I try to explain to my wife that I really need to get to the diner where my professor is. And the general feeling is just a lot of high emotions and rushing.'"
9955L,"'I dreamt I was at my old high school. Everyone was studying for exams. I was sitting on our front lawns studying with sl. E friends. I have forgotten a lot of detail, but basically I went into the building to find that my school building was now a block of poorly maintained and seedy flats. I went to one on the top floor, on the far right, and in there I met a very attractive young man. We had sex. This has upset me thoroughly as I have a partner, and I don't understand why I've had a dream of this nature.'"
7173S,"'I dreamt I was at my parents' house. Someone lured me outside to the garden and shot me in the heart. I woke up with my heart racing.    Then I had a longer dream. I was going to sing the Mozart Requiem (a piece I know pretty well) with an orchestra. The hall was unfamiliar and I had trouble finding a warm up space. In rehearsal, I was thrown by the fact that the performance space was a cathedral with choir stalls instead of a concert hall. I missed the final solo entrance because I fell asleep in the stalls, and there was no time to fix it, so the conductor decided someone in the chorus would sing that bit instead - something unheard-of and incredibly shameful in a professional setting. My mother tried to comfort me but it was too upsetting.'"
25564S,'I dreamt I was at my university and was feeling extremely anxious and dizzy. I felt like I was on the verge of a mental breakdown but I was trying to keep myself together.'
18627L,"'I dreamt I was at some kind of lake, river something like that, but there were also horses there to watch racing.  I had to park in a horse stable nd when I backed out I hit 3 cars and couldn't figure out how I did that, I was really upset because i had never had an accident before.  Then we were on a boat and people were all talking about my accident and making fun of me and I was crying and asking them to stop'"
2238S,"'I dreamt I was at someone's home but we were away.  My cousin was there who I have been very concerned about.  We were getting ready ourselves ready to leave that day and then he started coughing and was not stopping and everyone went into their own rooms and closed the doors.  No one wanted to be around him.  One person in particular was really mean and rude to him and she just wanted to get out, but I kept telling her she should not get on a plane since she has been in this place and she just had to stay put but she insisted on leaving and I was really upset.  I continued to use Clorox bleach on everything in the house every 2 hours throughout the day and would leave food outside of my cousins door for him.   I was crying because I w tirsomehow all alone with him and I woke up actually crying.  It took me about 15 minutes to fall back to sleep but I cannot remember if the dream was still  there'"
9388L,"'I dreamt I was at the hospital to deliver resultat from a study to a colleague. I couldnt find my way. I was walking in old nice hallways and had a nice time.,'"
22532S,'I dreamt I was at work and they decided to do a weather forecast. I was supposed to present the weather. A coworker was rude to me about the preparations since I didn't help much but I reminded him that was was sent on an errand while they prepared. This got me pissed so it might have helped me decide to adlib the weather as a grumpy old guy who gets mad at the audience while giving the stats.'
17567S,"'I dreamt I was at work at one office, but realized that I should have been att the other.  I was somewhat stressed but woke up and found that it was a nice Sunday morning.'"
4723L,'I dreamt I was attending my friend's child's funeral (which unfortunately happened in January of this year). I was also in a relationship in the dream. I was grocery shopping with a boyfriend. He was not someone discernable (meaning knowing him from my actual life). I stole my aunt's yogurt from a refrigerator. I was then at a concert watching 90s grunge bands and singing along.'
24623S,'I dreamt I was attending my high school friend's outdoor wedding in the summer'
3415L,'I dreamt I was back at work (teaching 6th grade) and the students were extremely unwilling to learn and disrespectful. Also I had to keep erasing what I was writing because it didn't make sense and my materials were all malfunctioning.    I'm another dream I was in college and invited to a music festival. When we got there it was more of a cult-like camp with thousands of people taking no social distancing precautions. I couldn't escape.'
1383L,'I dreamt I was back at work attending a conference but realized only me and my boss were there. I couldn't figure out where everyone else was.'
1677L,"'I dreamt I was back in Boston, going to a football game with my friends. It was nice.'"
9193L,"'I dreamt I was back in England in a sort of amusement park with all these crazy dressed harajuku-esque  cybergoths around. I was sitting next to a group of men by a Ferris wheel (white with bright colors) the men were predatory so I left. One of them kept talking about my tattoos and being very lewd.    Next I was in a small British village I've dreamed about before. Foggy and grey but cozy. Lots of stone, mist, plant life, a graveyard. I took a train there. I had made up my mind I WILL go to school here like I've planned. I kind of knew I was dreaming.i kind of knew I was trapped by covid  and couldn't travel at all (I live in USA). I met a woman, my dream woman in the pub. It was all too good to be true. Then I woke up.'"
1206L,'I dreamt I was back in high school and had gotten a bad report (showed that my grades had slipped from what they were) and that it was compared to every other student'
9735S,'I dreamt I was back in highschool'
14838S,"'I dreamt I was back in the Philippines but I was upset with myself that I didn't bring all of the Filipino coins that I had back in the states. Then I was in a vehicle in Manila and we were getting onto the highway but the driver couldn't see whether there was oncoming traffic and I was nervous we'd be hit but highways were pretty open because no one was traveling due to the coronavirus.    Then I was back with some high school classmates and we were signing two cards - one for my professor (whose real life class I finished yesterday) and one for my ex-boyfriend (whom I was talking to yesterday) but somehow the cards got switched and people were signing notes for Steve on Prof Miara's card.     Finally, I was in an airport and being pampered but I knew I was in danger. I also had a chocolate covered Oreo I wanted to eat but I had to wait twenty minutes for some reason.'"
14381L,"'I dreamt I was being eaten by a crocodile. Then I was on a houseboat, but I'm not sure why'"
17316L,'I dreamt I was being released from the hospital and decided to stop at the store before heading home. I walked in and realized  everyone was staring at me. I looked around trying to figure out why when it dawned on me I'd forgotten to put a mask on. I started to leave then realized I still had my hospital ID plastic bracelet on so I figured it'd be ok without a mask so long as I showed my HOSPITAL ID bracelet to everyone. I walked around showing my bracelet which got approval from everyone then I woke up.'
3289L,'I dreamt I was being trained in janitorial work by a foreign woman who used toliet cleaner on everything. Later I was trying to photograph all the workers and associate names with the photos.'
4295S,'I dreamt I was chaperoning a cross-country bus trip of my little brother and his friends.'
825L,'I dreamt I was chasing my kids and they kept running away. It was difficult to get them to listen'
22576L,"'I dreamt I was cutting my hair, not very skillfully. (I actually do cut my own hair but it's a more complicated process than in the dream.)'"
18999L,'I dreamt I was dating someone and he took me to meet his family and then I felt like he ignored me when I was meeting them. But then we were in a large event hall with other people and I saw someone walk in and I was worried he was going to blow up the hall so I tried to leave. But I stayed around to see what would happen'
5309S,"'I dreamt I was driving a car with my brother in the passenger seat and we were parking outside of MGH. Then we went into a little hut outside MGH to put on PPE but then my brother was annoying me. It felt like we had a mission at MGH but I don't know what it was. Before arriving to MGH, I was traveling and I think I was with my family, but that part is less clear.'"
20673L,"'I dreamt I was driving a semi down the freeway when a girl on a bike was riding it on the freeway up ahead in the middle of my lane. I tried to slow down but the semi wasn't slowing fast enough and just when I thought I'd hit her, she turned off and I swerved just missing her. I sighed a big sigh of relief and woke up.'"
14022S,'I dreamt I was either making or taking a long test and I was determining the point values for each section.'
19185S,'i dreamt i was exposed to someone who had covid and i was trying to get tested to see if i had it'
4639S,'I dreamt I was filling a red solo cup up with wine. And also talking to my sister about her sharing tax refund with me'
15412L,'I dreamt I was flying a plane through a crazy non-earth like place. It was water all around and weird plants. The plane was very rickety and I was surprised it flew. Many times it stopped flying how I wanted it to and we almost crashed. I also dreamt I was captaining my high school nordic ski team and organizing a pre-season workout/information session/farmer's market. very weird.'
9786L,"'I dreamt I was for some reason living in my college daughter's dorm with her and all her friends. There was still a pandemic and no hair salons open so her roommate, who also was a hairdresser in this dream, offered to highlight my hair.  I was reluctant since I'm actually not minding my gray coming in but I said yes and then the dream ended when the reveal was total bleach white blonde hair with colored streaks in it!'"
10386S,"'I dreamt I was for some reason recruited to play football with some big team. (A lot of sports dreams lately.) I was sitting in a circle with all the players, and the coach was examining everyone's footwear. The guy next to me, whose name was Kanye (maybe my brain meant Kobe?), was wearing boots apparently inspired by the movie Baby Driver (signified by a bicicyle (??) on the sole). The coach gave me some shit about my boots, which were the very comfortable, marshmallow-looking ones I used to walk the Camino de Santiago in real life. I proceeded to hang out with Kanye/Kobe, his crew, and my dad and sister for a while, driving from place to place eating food and talking. I told Kanye how much I liked The Shins, he expressed dislike for the way they dress and one (non-existant) song of theirs, and I countered by saying ""But Simple Song, though,"" with which he agreed. At the end of the hangout, some lady (I think a team manager?) informed me that they were going to search Hollywood (?) for someone who actually wanted to play football. I was elated and relieved, pumped my fist in the air, and gave Kanye/Kobe a very satisfying high-five.'"
17966L,'I dreamt I was getting hit on by someone I knew from high school.'
6592S,"'I dreamt I was giving my grandson a bath and we were just talking and playing, he is only 2'"
22017S,'I dreamt I was going down a staircase...'
2149L,"'I dreamt I was going on a short deployment again for the Air Force and when I got to my assigned barracks, someone had already sort of moved into the beds adjacent to me but then put their extra items on my bed.  I then decided to move all their stuff back onto their bed and move myself in by setting up my bedding.  I also explained to the other women in the barracks that its ridiculous that this other person had decided to bring so much extra stuff that she need to use my space, considering we were only going to be there for about 2 weeks.'"
8958L,"'I dreamt I was going to the bathroom but then realized there were other people in there with me, but everyone seemed fine that we were all in the bathroom together. And then I dreamt I was at a party that went all night and a guy I was supposed to be on a blind date with was waking up just when I was going to bed and I felt bad for missing our 'date' but also didn't care too much because he was younger than I was.'"
12618S,'I dreamt I was graduating from school and I was at a bar and a guy was hitting on me.'
24998S,'I dreamt I was grocery shopping'
10328S,'I dreamt I was hanging out with a bunch of young men who were in the Bloods gang.'
2614L,'I dreamt I was hanging out with my childhood friend and my family was having some problems I think. It had a sad tinge to it.'
20672S,'I dreamt I was hanging out with one of my friends'
5702L,'I dreamt I was having a high school reunion/graduation. I saw some classmates that I have not seen in about 14 years.'
11L,"'I dreamt I was having an argument with my daughter, who is also living here at this time. Can't remember what it was about.  I know I had more dreams but can't remember them.'"
8108S,'I dreamt I was having dinner with the cast of Schitt's Creek.  I do watch the show but haven't watched this whole quarantine'
7970L,"'I dreamt I was helping someone translate some ancient Greek phrases into English. This guy was a coworker of my husband and had recently ended two simultaneous romantic relationships with a great deal of angst. I was in a similar position about ten years ago, so I tried to console him but then we realised we were attracted to each other and shouldn't allow a friendship to develop. He and I left the library and very awkwardly tried to deal with our unwieldy stacks of books on a cramped bus. It was a disturbing dream because I'm afraid of committing infidelity.'"
5727L,"'I dreamt I was holding a baby elephant & there was a heard of adult sized elephants on the roads. Then my mom posted something stupid/political on Facebook & I was going to tell her to take it down but then I was like ""she needs to learn"" so I didn't say anything. Then I was trying to get in a superhero outfit but I couldn't zip it up cause my butt was too big. So take all that for what u will. :)'"
8563L,"'I dreamt I was in a different house, probably in a living room.'"
18639L,"'I dreamt I was in a dress and had decided to wear dresses again, not only pants'"
21900L,"'I dreamt I was in a empty building singing the song ""Elizabeth"" by the Oakridge Boys. I sang loud and towards the end of the song, the words would fail me, so I'd start all over again. I did this about six times then I woke up suddenly and startled but not sure why or why that particular song.'"
7491L,"'I dreamt I was in a huge mansion, belonging to my brother's friends.  I was dating someone and he was there. I also had a puppy there that I kept forgetting to feed. I remember being sad and tad going about because in real life my dog died 7 months ago.  This puppy was the same the breed.'"
22196S,"'I dreamt I was in a large conference room with all of my colleagues. There was a storm on its way to us, and I was anxious. Our COO approached me and we got in an argument, she asked that I call her ""ma'am"" in front of the whole team and I stormed out.'"
16340S,'I dreamt I was in a neighborhood looking at some neat unfixed buildings. Later I acquired a tall Victorian building next to an elevated train tower. Turns out it was in Soviet Russia and I was using mass transit to do spying. Later in dream I was doing cleaning in a factory. I was with others and we discussed how to cover for a missing worker.'
5208L,"'I dreamt I was in a new company and was being trained by a man I was attracted to.  We flirted, but then he received a review that said he should keep his distance from me, so I backed off.'"
20147S,"'I dreamt I was in a post-Halloween haunted house/superstore. Me and my family had gone there before halloween, so they had learned our deepest fears. So when we went back to the post-halloween house, they were able to incorporate them.'"
6232S,'I dreamt I was in a relationship. My boyfriend supported me (financially and emotionally) when I lost my job in the dream.'
21212S,'I dreamt I was in a scary movie'
10852S,'I dreamt I was in a science class and had a boyfriend even though I am married. I also dreamt that I was on a vacation in Central America.'
20901L,'I dreamt I was in a toy store trying to find a suitable gift for my adult girlfriend and ended up buying toy bugs.'
11035L,"'I dreamt i was in an art exhibit and i was very nervous because i didnt have mush talent, but my friends kept encouraging me.  I kept asking why i was going this since i never did art before.  The next thing I was on a train going to work but it seemed like it was in Italy, but I was happy to be there'"
3987S,'I dreamt I was in an elevator that turned over 360 degrees.'
13242L,'I dreamt I was in an IKEA but I didn't have a mask and nobody was social distancing. I was anxious to get my things and leave but I was pulled aside by a police officer because I looked like a wanted suspect. He asked me about my tattoos to try and identify me. I reported some of my actual tattoos but I also had some I don't have in real life. The officer told me I needed to know the details of my tattoos better but said the birthmark on my calf was good enough to determine I was not the suspect.'
10090L,"'I dreamt I was in Australia but just before we left, it was discovered that one of our friends was missing.   While waiting at the hotel for news, my group met another group who also had a missing member.   That is all I remember.'"
22738L,'I dreamt I was in Australia which makes sense because I have relatives there and I have visited.  But in the dream I was with people I did not know and we were making a movie.   I guess I was starring as we were discussing the Australian slang that I would use.  Weird!'
5973S,"'I dreamt I was in charge of taking care of a baby and kept losing her/forgetting to actually take of her (change her diaper, feed her).  I was living in a completely different house with my family but a whole group of men showed up to quarantine with us which I was not happy about.  I'm not positive, but I think they were members of a famous band.'"
11145S,'I dreamt I was in class with someone I haven't been in school with since middle school. I sat in a desk behind someone I was close friends with in elementary and middle school. There was another part of the dream - maybe at a movie theater? but I don't really remember it.'
9251S,'I dreamt I was in college and had homework due.'
19460L,'I dreamt I was in high school playing lacrosse.'
8017S,'I dreamt I was in high school. I was graduating and walking across the stage. I missed walking across the stage because I left to use the restroom.'
22486S,'I dreamt I was in my childhood home and I opened a closet and there were a ton of mice.'
20332S,'I dreamt I was in my childhood home with my sister and we moved all of the furniture around in my room.  I also dreamt that we were watching Hillary Clinton and she was with all of these cool girls in high school but she was clearly way too smart to be hanging out with them.'
15517S,"'I dreamt I was in my university hanging out with my friends. A lot of weird things happened in the dream, but basically we were there to turn in the last things we needed in order to graduate.  (In real life, I'm currently in my last year of university.)'"
28224S,'I dreamt I was in the cellar of my grandmothers.'
22963S,"'I dreamt I was in this huge empty museum with big marble walls and floors and high vaulted ceilings. Every step I took echoing loudly. I started tip toeing so no one would hear me, why I've no clue,  I just knew I had to be quiet. I was searching for a bathroom because I had to go bad, but couldn't find any anywhere. Just when I felt I couldn't hold it any longer I woke up.'"
7619L,'I dreamt I was Jasmine in a futuristic Aladdin-superhero crossover universe.'
2481S,"'I dreamt I was late for a flight with a former coworker, and was frantically panicking and cleaning the kitchen.'"
4690L,'I dreamt I was late for a funeral.  And then when I arrived I made a scene.'
20271L,'I dreamt I was laughing and talking to my brother (whom I lost to Covid-19 in December at age 55) and he was teasing me about always having to go to the bathroom.'
8353L,"'I dreamt I was living in a dirty, possibly haunted house with a bunch of children I don't know and was desperately trying to clean it enough for it to be habitable and for some reason able to be listed for sale!'"
